"ITTER107","Territory","TIPO_DATO2","Index type","MISURA1","Measure","TYPPURCH","Purchases of dwellings","TIME","Select time","Value","Flag Codes","Flags"
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2010-Q2","Q2-2010",128.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2010-Q1","Q1-2010",126.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2010-Q4","Q4-2010",127.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2010-Q3","Q3-2010",128.9,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2011-Q1","Q1-2011",124.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2011-Q2","Q2-2011",125.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2011-Q4","Q4-2011",124.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2011-Q3","Q3-2011",127.7,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2012-Q2","Q2-2012",122.3,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2012-Q1","Q1-2012",123.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2012-Q4","Q4-2012",116.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2012-Q3","Q3-2012",117.1,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2013-Q1","Q1-2013",113.8,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2013-Q2","Q2-2013",111,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2013-Q4","Q4-2013",108.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2013-Q3","Q3-2013",109.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2014-Q2","Q2-2014",106.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2014-Q1","Q1-2014",108.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2014-Q4","Q4-2014",102,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2014-Q3","Q3-2014",103.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2015-Q1","Q1-2015",98.7,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2015-Q2","Q2-2015",97.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2015-Q4","Q4-2015",102.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2015-Q3","Q3-2015",101.3,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2016-Q2","Q2-2016",103,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2016-Q1","Q1-2016",102.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2016-Q4","Q4-2016",104.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2016-Q3","Q3-2016",104.8,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2017-Q1","Q1-2017",107,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2017-Q2","Q2-2017",106.8,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2017-Q4","Q4-2017",107.1,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2017-Q3","Q3-2017",108.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2018-Q2","Q2-2018",110.3,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2018-Q1","Q1-2018",108.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2018-Q4","Q4-2018",111.8,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2018-Q3","Q3-2018",111.7,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2019-Q1","Q1-2019",115.9,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2019-Q2","Q2-2019",117.9,"r","revised data"
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2019-Q4","Q4-2019",125.8,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2019-Q3","Q3-2019",122.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2020-Q2","Q2-2020",136.7,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2020-Q1","Q1-2020",131.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2020-Q3","Q3-2020",136.9,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2020-Q4","Q4-2020",135.1,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2021-Q1","Q1-2021",138.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2021-Q2","Q2-2021",138.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2021-Q3","Q3-2021",142.1,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2021-Q4","Q4-2021",143.5,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2022-Q1","Q1-2022",147.4,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2022-Q2","Q2-2022",150.2,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2022-Q3","Q3-2022",150,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2022-Q4","Q4-2022",152.7,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2023-Q1","Q1-2023",156,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2023-Q2","Q2-2023",160.9,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2023-Q3","Q3-2023",156.6,,
"ITC45","Milano","59","house price index (base 2015=100) - quarterly data","4","index number","ALL","H1 - all items","2023-Q4","Q4-2023",159,"p","provisional data"
